year,EDR,labor.force
2021,EDR 3 - Arrowhead,159241
2020,EDR 3 - Arrowhead,160127
2019,EDR 3 - Arrowhead,165413
2018,EDR 3 - Arrowhead,163057
2017,EDR 3 - Arrowhead,163687
2016,EDR 3 - Arrowhead,164530
2015,EDR 3 - Arrowhead,163651
2014,EDR 3 - Arrowhead,163754
2013,EDR 3 - Arrowhead,163998
2012,EDR 3 - Arrowhead,163766
2021,EDR 9 - South Central,128614
2020,EDR 9 - South Central,133233
2019,EDR 9 - South Central,134894
2018,EDR 9 - South Central,132823
2017,EDR 9 - South Central,132638
2016,EDR 9 - South Central,132745
2015,EDR 9 - South Central,132281
2014,EDR 9 - South Central,129669
2013,EDR 9 - South Central,130610
2012,EDR 9 - South Central,131920
2021,EDR 10 - Southeast,281472
2020,EDR 10 - Southeast,286002
2019,EDR 10 - Southeast,288108
2018,EDR 10 - Southeast,283416
2017,EDR 10 - Southeast,282049
2016,EDR 10 - Southeast,281883
2015,EDR 10 - Southeast,278869
2014,EDR 10 - Southeast,276399
2013,EDR 10 - Southeast,277839
2012,EDR 10 - Southeast,277984
2021,EDR 7W- Central,235889
2020,EDR 7W- Central,240235
2019,EDR 7W- Central,242213
2018,EDR 7W- Central,237924
2017,EDR 7W- Central,237332
2016,EDR 7W- Central,235177
2015,EDR 7W- Central,231134
2014,EDR 7W- Central,229814
2013,EDR 7W- Central,227472
2012,EDR 7W- Central,226373
2021,EDR 7E- East Central,86232
2020,EDR 7E- East Central,87634
2019,EDR 7E- East Central,88590
2018,EDR 7E- East Central,87368
2017,EDR 7E- East Central,87210
2016,EDR 7E- East Central,86610
2015,EDR 7E- East Central,85146
2014,EDR 7E- East Central,84951
2013,EDR 7E- East Central,85027
2012,EDR 7E- East Central,85218
2021,EDR 8 - Southwest,61837
2020,EDR 8 - Southwest,63606
2019,EDR 8 - Southwest,65172
2018,EDR 8 - Southwest,64147
2017,EDR 8 - Southwest,64429
2016,EDR 8 - Southwest,65928
2015,EDR 8 - Southwest,66484
2014,EDR 8 - Southwest,64988
2013,EDR 8 - Southwest,64840
2012,EDR 8 - Southwest,65746
2021,EDR 1 - Northwest,44923
2020,EDR 1 - Northwest,46040
2019,EDR 1 - Northwest,47457
2018,EDR 1 - Northwest,46968
2017,EDR 1 - Northwest,47415
2016,EDR 1 - Northwest,48325
2015,EDR 1 - Northwest,48822
2014,EDR 1 - Northwest,48296
2013,EDR 1 - Northwest,47923
2012,EDR 1 - Northwest,48803
2021,EDR 4 - West Central,127515
2020,EDR 4 - West Central,127580
2019,EDR 4 - West Central,129331
2018,EDR 4 - West Central,126936
2017,EDR 4 - West Central,126766
2016,EDR 4 - West Central,126716
2015,EDR 4 - West Central,126148
2014,EDR 4 - West Central,124336
2013,EDR 4 - West Central,123580
2012,EDR 4 - West Central,123926
2021,EDR 2 - Headwaters,43817
2020,EDR 2 - Headwaters,43611
2019,EDR 2 - Headwaters,44233
2018,EDR 2 - Headwaters,43148
2017,EDR 2 - Headwaters,42816
2016,EDR 2 - Headwaters,43075
2015,EDR 2 - Headwaters,42502
2014,EDR 2 - Headwaters,42037
2013,EDR 2 - Headwaters,41803
2012,EDR 2 - Headwaters,41614
2021,EDR 5 - North Central,82582
2020,EDR 5 - North Central,83918
2019,EDR 5 - North Central,85528
2018,EDR 5 - North Central,83645
2017,EDR 5 - North Central,83538
2016,EDR 5 - North Central,83242
2015,EDR 5 - North Central,82642
2014,EDR 5 - North Central,81809
2013,EDR 5 - North Central,82117
2012,EDR 5 - North Central,81962
2021,EDR 6W- Upper Minnesota Valley,21939
2020,EDR 6W- Upper Minnesota Valley,23077
2019,EDR 6W- Upper Minnesota Valley,23766
2018,EDR 6W- Upper Minnesota Valley,23348
2017,EDR 6W- Upper Minnesota Valley,23419
2016,EDR 6W- Upper Minnesota Valley,23878
2015,EDR 6W- Upper Minnesota Valley,24133
2014,EDR 6W- Upper Minnesota Valley,23496
2013,EDR 6W- Upper Minnesota Valley,23604
2012,EDR 6W- Upper Minnesota Valley,24507
2021,EDR 6E- Southwest Central,63999
2020,EDR 6E- Southwest Central,65011
2019,EDR 6E- Southwest Central,67428
2018,EDR 6E- Southwest Central,66251
2017,EDR 6E- Southwest Central,66462
2016,EDR 6E- Southwest Central,65824
2015,EDR 6E- Southwest Central,66186
2014,EDR 6E- Southwest Central,64558
2013,EDR 6E- Southwest Central,64470
2012,EDR 6E- Southwest Central,64587
2021,EDR 11 - 7 County Twin Cities,1686776
2020,EDR 11 - 7 County Twin Cities,1715402
2019,EDR 11 - 7 County Twin Cities,1731543
2018,EDR 11 - 7 County Twin Cities,1711198
2017,EDR 11 - 7 County Twin Cities,1699266
2016,EDR 11 - 7 County Twin Cities,1675478
2015,EDR 11 - 7 County Twin Cities,1649759
2014,EDR 11 - 7 County Twin Cities,1638705
2013,EDR 11 - 7 County Twin Cities,1625317
2012,EDR 11 - 7 County Twin Cities,1609964
