Year/Month,Seven County Mpls-St Paul - MN   ,Northwest Minnesota             ,Northeast Minnesota             ,Southeast Minnesota             ,Southwest Minnesota             ,Central Minnesota               
2021/12,1682094,301980,159115,283570,214559,388810
2021/11,1688609,299674,158671,282812,211669,385617
2021/10,1680429,302482,158481,282509,214281,385346
2021/09,1691124,302462,159496,283388,210700,384397
2021/08,1694835,303022,159113,283129,210928,384803
2021/07,1701787,304524,160204,283754,212857,387375
2021/06,1702215,304304,160916,282450,213512,387050
2021/05,1700874,298909,159709,281080,212464,386753
2021/04,1690980,291253,159148,278558,210745,385439
2021/03,1677771,289941,158868,277635,210556,385279
2021/02,1673120,294375,160086,280625,213263,388027
2021/01,1657471,293120,157085,278149,213140,384549
2020/12,1667820,302897,156697,282663,219342,388911
2020/11,1680348,302387,157058,283565,220602,389324
2020/10,1671997,300569,154804,283056,222553,386098
2020/09,1710837,298951,156716,283508,217804,387824
2020/08,1747997,304433,160123,290015,222272,395005
2020/07,1741037,307390,160337,291986,226128,396715
2020/06,1754740,303181,163039,290688,222293,398321
2020/05,1714399,296541,161103,286081,215548,388964
2020/04,1703175,299030,160800,283026,216956,390439
2020/03,1725871,298468,163131,285758,217781,395592
2020/02,1735645,300075,164469,286186,219114,398695
2020/01,1730960,299865,163249,285494,218603,398669
2019/12,1731024,308268,165335,288121,225655,400778
2019/11,1741909,307008,166633,289160,225880,399901
2019/10,1740986,309366,166427,290861,229597,400912
2019/09,1739134,307283,165919,288576,224218,397667
2019/08,1748584,307954,165955,289246,221029,397383
2019/07,1756388,312888,167470,292052,226521,400816
2019/06,1740751,311397,166032,290765,226118,397740
2019/05,1716848,307665,164106,287425,224879,395254
2019/04,1714012,303273,164061,286624,223192,397131
2019/03,1719419,301626,164527,286044,220402,397649
2019/02,1716744,300859,164469,284540,219138,397005
2019/01,1712718,301005,164020,283885,219344,396525
2018/12,1713515,302779,163453,285215,222771,394483
2018/11,1716152,299061,163077,282980,220343,391753
2018/10,1714354,301076,162632,284430,222964,392474
2018/09,1711369,299257,162321,282413,218506,388873
2018/08,1724459,299522,162128,283035,214705,389314
2018/07,1731087,305694,163775,286088,220707,393088
2018/06,1719941,306677,164350,285582,222657,391698
2018/05,1702176,302689,162950,283009,221967,390069
2018/04,1703776,298566,163055,282915,220407,391622
2018/03,1699477,298361,163544,283059,220351,392165
2018/02,1703868,297694,163547,281871,219592,392383
2018/01,1694183,296962,161834,280384,218872,390578
2017/12,1698022,300118,162388,281488,221333,391627
2017/11,1702989,299200,163046,281424,221243,391080
2017/10,1697012,299307,162543,281411,223330,389886
2017/09,1713716,297587,164338,280838,217197,388698
2017/08,1720798,299746,164057,282616,215661,390208
2017/07,1727064,302171,165121,284177,217702,392121
2017/06,1711439,304684,164964,285174,221328,391151
2017/05,1695733,300504,163233,281987,220046,389614
2017/04,1689369,299260,163476,281520,221606,391021
2017/03,1682109,300419,163852,281547,221981,392457
2017/02,1681785,300551,164096,281037,220922,391889
2017/01,1671119,302822,163119,281363,223446,392289
2016/12,1677551,302115,163053,282117,224479,390611
2016/11,1675975,300134,163218,282327,224602,388750
2016/10,1679515,300858,164266,282984,226010,389421
2016/09,1688637,298229,164597,280441,218590,386079
2016/08,1695254,302107,164900,281991,218689,387605
2016/07,1702751,303365,165929,282719,219802,388976
2016/06,1685889,306107,165681,283986,223404,387327
2016/05,1671556,300020,164464,280375,220569,384432
2016/04,1665098,299630,164566,280491,221984,385838
2016/03,1658535,302617,165279,282747,224725,388649
2016/02,1660720,299533,165057,280844,222084,387144
2016/01,1644266,301571,163329,281564,225635,386506
2015/12,1650291,303092,163642,279720,226514,385355
2015/11,1648868,300305,162924,280646,225642,382717
2015/10,1646158,302182,163504,281335,228782,383525
2015/09,1651098,297329,164245,277894,220522,380057
2015/08,1663923,300088,164131,279957,219478,381895
2015/07,1675120,302106,166202,280368,221017,384537
2015/06,1661768,305455,165990,281200,224756,384070
2015/05,1660283,300023,164120,277871,220702,381462
2015/04,1643492,297898,162918,276735,221430,380713
2015/03,1631558,298851,162292,277751,223681,382503
2015/02,1635977,296086,162531,276038,219904,381294
2015/01,1628567,297895,161296,276922,222339,381454
2014/12,1635249,297346,163169,276778,220983,381132
2014/11,1640116,296855,164205,276742,219779,380117
2014/10,1638529,297683,162999,278193,221756,379929
2014/09,1639180,296399,163735,275443,216980,378149
2014/08,1646462,300332,163815,278473,217777,379329
2014/07,1659869,301389,165463,278846,219036,382151
2014/06,1652730,300497,165650,278013,218081,379671
2014/05,1639256,295485,163384,274855,215578,376633
2014/04,1631550,292860,162643,274544,215685,377860
2014/03,1630062,294128,163728,275429,217748,379638
2014/02,1627403,292478,163755,274689,217390,379165
2014/01,1624035,292256,162487,274775,217001,378082
2013/12,1625289,292926,162535,275925,218332,376614
2013/11,1630586,292042,162823,275646,216935,376041
2013/10,1629213,292878,163093,276831,218374,376098
2013/09,1629117,294640,163853,276792,218039,376046
2013/08,1630826,299693,165087,280713,219492,377504
2013/07,1640550,301705,166615,282128,221068,380239
2013/06,1634737,301661,166214,281613,222217,378435
2013/05,1622367,297738,164804,277625,220182,375523
2013/04,1618034,293455,163564,276739,218530,376341
2013/03,1613125,292114,163524,276377,218001,376155
2013/02,1614457,291989,163295,276164,218168,376587
2013/01,1615497,294240,162574,277509,219273,378049
2012/12,1614280,294053,163804,278212,219456,375577
2012/11,1623801,292671,163984,278112,218449,374028
2012/10,1628061,294472,164738,278137,219793,376093
2012/09,1618212,294716,164179,277531,218575,375047
2012/08,1616872,299887,165490,280999,221511,377007
2012/07,1618394,304738,166303,284216,227732,379219
2012/06,1613873,303197,165421,281299,226531,377383
2012/05,1598836,300186,163236,277576,225913,375700
2012/04,1595929,294797,161583,275360,223227,375021
2012/03,1598729,294028,162573,275896,223226,377337
2012/02,1599123,291565,162713,274364,221029,376433
2012/01,1593439,291313,161157,274083,220594,375255
2011/12,1602966,294240,162639,274394,222148,376407
2011/11,1611836,293329,163567,274534,220409,375097
2011/10,1616373,293430,164699,275492,221454,376608
2011/09,1617745,294869,165281,275832,220159,376844
2011/08,1615836,301178,165860,279246,224391,378872
2011/07,1625818,304481,167866,282265,228950,381287
2011/06,1611284,303914,167984,279878,228580,379022
2011/05,1595597,302717,165673,277496,229682,378340
2011/04,1592906,297480,164769,275379,226812,378919
2011/03,1585703,297734,165649,275273,227571,379775
2011/02,1581492,296430,164723,274389,225473,378979
2011/01,1584681,295474,163776,273991,223834,377551
2010/12,1591774,295952,164730,273767,223007,377099
2010/11,1601415,296157,165905,275419,223885,377974
2010/10,1603507,295569,166598,275499,223769,378273
2010/09,1607057,295043,167579,274773,220381,376649
2010/08,1613424,298652,169099,278760,221710,378373
2010/07,1615158,302129,169788,280406,225745,379735
2010/06,1605576,300911,168835,278334,226126,378003
2010/05,1582878,301775,166973,277648,229794,379215
2010/04,1579427,300554,166228,277641,230290,380004
2010/03,1575169,298813,166167,277893,229557,381776
2010/02,1566709,297266,165048,276188,227616,379786
2010/01,1578513,292929,164290,273827,221446,377568
