Year/Month,EDR  3 - Arrowhead              ,EDR  9 - South Central          ,EDR 10 - Southeast              ,EDR  7W- Central                ,EDR  7E- East Central           ,EDR  8 - Southwest              ,EDR  1 - Northwest              ,EDR  4 - West Central           ,EDR  2 - Headwaters             ,EDR  5 - North Central          ,EDR  6W- Upper Minnesota Valley,EDR  6E- Southwest Central      ,EDR 11 - 7 County Twin Cities   
2020/11,155737,133872,283865,237678,86398,64360,46194,128054,43576,84492,23249,65458,1681476
2020/10,154804,133532,283056,235437,85154,65427,46263,127755,43059,83492,23594,65507,1671997
2020/09,156716,131719,283508,237084,86097,63306,45181,127138,43212,83420,22779,64643,1710837
2020/08,160123,134319,290015,241400,87774,64518,45689,128938,44285,85521,23435,65831,1747997
2020/07,160337,136030,291986,242384,87758,66154,46884,130230,44418,85858,23944,66573,1741037
2020/06,163039,134906,290688,245015,88046,64288,46457,128170,43804,84750,23099,65260,1754740
2020/05,161103,130857,286081,238746,86727,62260,45614,125289,42814,82824,22431,63491,1714399
2020/04,160800,131724,283026,238829,87572,62345,45796,125789,43534,83911,22887,64038,1703175
2020/03,163131,132977,285758,242043,89085,62164,45706,126808,43616,82338,22640,64464,1725871
2020/02,164469,134014,286186,243883,90105,62243,46154,127193,43870,82858,22857,64707,1735645
2020/01,163249,133507,285494,243359,90389,62252,46323,126665,43865,83012,22844,64921,1730960
2019/12,165335,136055,288121,243117,89785,65572,47990,129854,44685,85739,24028,67876,1731024
2019/11,166633,136599,289160,243582,88755,65326,47593,129629,44377,85409,23955,67564,1741909
2019/10,166427,138367,290861,243965,88392,66798,48273,130805,44418,85870,24432,68555,1740986
2019/09,165919,135282,288576,242405,87776,65321,47208,129676,44448,85951,23615,67486,1739134
2019/08,165955,133515,289246,242008,88173,64253,46301,130693,44409,86551,23261,67202,1748584
2019/07,167470,135462,292052,243618,88992,66748,47452,132704,44922,87810,24311,68206,1756388
2019/06,166032,135309,290765,241464,88243,66499,47809,131667,44637,87284,24310,68033,1740751
2019/05,164106,134515,287425,240372,87317,66253,47806,130230,44049,85580,24111,67565,1716848
2019/04,164061,134389,286624,241756,88198,65089,47453,127910,43585,84325,23714,67177,1714012
2019/03,164527,133400,286044,241927,89090,63730,47232,126718,43740,83936,23272,66632,1719419
2019/02,164469,132964,284540,241698,88985,63131,47051,126247,43763,83798,23043,66322,1716744
2019/01,164020,132868,283885,240638,89371,63341,47316,125841,43767,84081,23135,66516,1712718
